"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"CCNT1","Ccnt1",11.735737,6.89505,10.787535,735,908,172,9.80610733333333,7.053666,5.966431,5.967203,902,582,532,74.007024,0.144067938668428
"CCNT2","Ccnt2",12.91009,11.80671,8.405427,1538,1960,339,11.0407423333333,17.29803,17.612133,16.781431,1142,845,832,13.7377323333333,0.817001018949161
"CCNY","Ccny",21.699281,18.95977,21.520292,1501,1841,414,20.7264476666667,50.179058,36.935315,40.849224,1093,553,652,0.07967,20.1232299375426
"CCP110","Ccp110",29.274446,24.545452,28.357057,2640,3721,713,27.3923183333333,14.547305,21.233854,12.886549,641,801,685,19.050347,1.41605122012768
"CCPG1","Ccpg1",38.287925,35.034854,28.131408,1865,2356,459,33.8180623333333,26.83686,27.090866,21.869676,1133,828,767,34.1816656666667,0.989664976730257
"CCR1","Ccr1",0.100522,0.063212,0.193756,5,5,3,0.119163333333333,0.33751,0.277132,0.279618,16,10,9,46.6670026666667,0.023478785548141
"CCR10","Ccr10",0.597058,0.576832,0.181856,21,31,2,0.451915333333333,1.048698,1.228072,2.137732,31,29,33,90.9956906666667,0.0157824276638581
"CCR2","Ccr2",0.155388,0.154888,0.159227,15,17,3,0.156501,0,0,0,0,0,0,23.3673193333333,0.0474611500830115
"CCR3","Ccr3",0.029994,0.009835,0,2,1,0,0.0132763333333333,0.057662,0.038051,0,2,1,0,42.507611,0.0232896339294137
"CCR4","Ccr4",0.474909,0,0,1,0,0,0.158303,0.057984,0.099034,0.028291,3,4,1,1.023545,0.572412770657435
"CCR5","Ccr5",4.046454,6.84762,4.963762,75,143,26,5.28594533333333,0.015936,0.129754,0,1,3,0,57.6501396666667,0.10717698830828
"CCR6","Ccr6",0,0.483665,0,0,2,0,0.161221666666667,0.293482,0.571994,0.539025,17,16,19,5.28701933333333,0.184701462664502
"CCR7","Ccr7",0,0,0,0,0,0,0,0.030305,0.11973,0.1389,1,3,2,9.83387666666667,0.0923030629540734
"CCR8","Ccr8",0,0,0,0,0,0,0,0,0,0,0,0,0,278.945272666667,0.00357212676061406
