"Hs_symbol","Spinal_cord","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"RAC3",13.62406,13.62406,121.8092,121.8092,0.119079515215472
"RACGAP1",6.98272,6.98272,6.63825,6.63825,1.04509802638039
"RAD1",8.78271,8.78271,12.6388,12.6388,0.71727058098953
"RAD17",15.42405,15.42405,13.94554,13.94554,1.09892650248837
"RAD17P1",0,0,0,0,1
"RAD17P2",0,0,0.01045,0.01045,0.989658073135732
"RAD18",2.01723,2.01723,2.71802,2.71802,0.811515268879673
"RAD21",62.56516,62.56516,43.27927,43.27927,1.43555121843698
"RAD21-AS1",0.83793,0.83793,0.33453,0.33453,1.37721145272118
"RAD21L1",0.49655,0.49655,0.02091,0.02091,1.46589807132852
"RAD23A",102.41321,102.41321,108.83587,108.83587,0.941524931700364
"RAD23B",31.06534,31.06534,53.58685,53.58685,0.587418764775766
