"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,"Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,7.74627043704047
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,"Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,0.225831359618996
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,"Acap3",20.858138,22.288186,21.60155,324,1404,830,21.5826246666667,10.30622338053
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,"Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,1.35802361203962
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,1.08820161919932
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat3",0.859081,0.856018,0.384914,8,16,6,0.700004333333333,17.3706121925572
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,"Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,3.60885052691467
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,"Acbd4",49.52793,55.202241,55.661162,120,558,315,53.4637776666667,0.0835012344259411
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,"Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,0.212692107151871
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,"Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,0.660401971067919
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,"Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.17446933270299
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,"Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,3.90833197762798
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.036953,0.308815,0,2,4,0.115256,0.89665511774875
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,"Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.732470344705046
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,"Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.192177161632224
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,"Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.635460129203222
"ACER1",0.050862,0,0,0.016954,1,0,0,"Acer1",0,0.018434,0.02977,0,1,1,0.016068,1.00087198888263
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,"Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.479404379700773
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,"Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,0.60398917994343
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,"Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,0.283285784778836
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,"Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,2.98285277334972
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,"Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,0.0434250559521856
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,"Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,0.989154762377216
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,"Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,0.509801665146437
"ACKR4",0,0,0,0,0,0,0,"Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.458324338718186
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,"Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,1.79045145868567
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,"Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,0.984349854714396
