"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SYT13",5.78148,4.06209,35.28517,15.0429133333333,11.76259,11.76259,1.25702646040759
"SYT14",1.9382,2.51463,1.09242,1.84841666666667,2.53093,2.53093,0.80670437155839
"SYT14L",0.6295,0,1.70418,0.777893333333333,0.89205,0.89205,0.939665089893678
"SYT15",26.24029,37.22202,39.69855,34.3869533333333,48.25359,48.25359,0.718464447633834
"SYT16",0.61294,0.80136,0.96133,0.791876666666667,0.72609,0.72609,1.03811311499787
"SYT17",20.06123,27.38457,35.85323,27.7663433333333,24.43797,24.43797,1.13084272578878
"SYT2",19.48143,13.7061,3.18987,12.1258,0.85056,0.85056,7.09287999308317
"SYT3",19.3489,15.22593,22.70049,19.0917733333333,15.10258,15.10258,1.24773628408201
"SYT4",27.51586,21.47105,36.63977,28.5422266666667,16.63774,16.63774,1.67494399320245
"SYT5",378.19816,296.69843,220.07897,298.325186666667,78.95664,78.95664,3.74359386120611
"SYT6",11.51326,9.25715,1.59493,7.45511333333333,2.75913,2.75913,2.2492207860152
"SYT7",59.23945,48.68982,121.54267,76.4906466666667,33.35845,33.35845,2.25535921051929
"SYT8",1.09335,0.2487,0,0.44735,4.97887,4.97887,0.242077516319974
"SYT9",7.81908,9.14661,8.10576,8.35715,18.71227,18.71227,0.47468657846103
"SYTL1",3.36287,2.76333,4.39153,3.50591,7.65502,7.65502,0.520612315165072
"SYTL2",9.07808,12.37971,95.34643,38.93474,39.00118,39.00118,0.998339048998055
"SYTL3",2.15356,4.03446,2.44702,2.87834666666667,2.09528,2.09528,1.25298734417134
"SYTL4",59.09036,50.32019,16.3863,41.9322833333333,11.28545,11.28545,3.4945633520411
"SYTL5",13.05388,10.63881,0.93948,8.21072333333333,5.85018,5.85018,1.34459581110764
"SYVN1",32.31996,25.42261,32.09531,29.94596,36.13833,36.13833,0.833262023359693
"SZRD1",39.89055,44.95933,28.68695,37.84561,25.45449,25.45449,1.46839383409017
"SZT2",9.27687,10.33484,13.34937,10.9870266666667,12.30197,12.30197,0.901146722377713
"T",0,0,0,0,0,0,1
"TAAR1",0,0,0,0,0,0,1
"TAAR2",0,0,0,0,0,0,1
"TAAR3",0.56324,0.4974,0,0.353546666666667,0.51863,0.51863,0.891294565935525
"TAAR4P",0,0,0,0,0,0,1
"TAAR5",0,0.13817,0,0.0460566666666667,0,0,1.04605666666667
"TAAR6",0,0,0,0,0,0,1
"TAAR7P",0,0,0,0,0,0,1
"TAAR8",0,0,0,0,0,0,1
"TAAR9",0,0,0,0,0,0,1
"TAB1",41.03359,29.70577,31.92052,34.21996,34.72764,34.72764,0.985790273301007
"TAB2",24.56714,27.4951,17.87199,23.31141,14.91588,14.91588,1.52749392430704
"TAB3",4.57217,4.50422,4.76295,4.61311333333333,3.38149,3.38149,1.28109691756305
"TAB3-AS1",0,0,0,0,0,0,1
"TAB3P1",0,0,0,0,0,0,1
"TAC1",175.91267,145.68261,9.39481,110.33003,17.15637,17.15637,6.13173393139708
"TAC3",19.53113,12.93237,17.01991,16.49447,5.97465,5.97465,2.50829360613077
"TAC4",0,0,0,0,0,0,1
"TACC1",91.50971,100.03244,63.6007,85.0476166666667,83.72806,83.72806,1.01557402195526
"TACC2",60.68068,48.99379,56.69661,55.4570266666667,49.51905,49.51905,1.11753935726556
"TACC3",7.55402,6.68725,10.44354,8.22827,11.51365,11.51365,0.737456297722887
"TACO1",19.77961,18.07216,11.99477,16.6155133333333,11.90781,11.90781,1.3647174333472
"TACR1",22.62894,2.51463,1.13612,8.75989666666667,0.56012,0.56012,6.25586279687887
"TACR2",2.0873,1.8238,1.26721,1.72610333333333,1.14099,1.14099,1.27329101646123
"TACR3",0.18222,0.11053,0.28403,0.19226,0.80907,0.80907,0.659045808067129
"TACSTD2",1.20931,1.05006,0.61176,0.957043333333333,3.65117,3.65117,0.420763664482987
"TADA1",9.69102,9.03608,8.1713,8.96613333333333,7.13639,7.13639,1.22488392681931
"TADA2A",22.33075,19.67489,31.06843,24.3580233333333,31.11796,31.11796,0.789527832195237
"TADA2B",18.20586,16.88393,7.25367,14.1144866666667,11.57588,11.57588,1.2018631433082
