"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"ALG1",14.41228,13.789,16.45185,14.8843766666667,6.62901,6.62901,2.08210195905716
"ALG10",0.96082,0.829,0.08739,0.625736666666667,2.02412,2.02412,0.537589998633211
"ALG10B",0.7289,0.829,1.15797,0.90529,1.50544,1.50544,0.760461236349703
"ALG11",2.60084,1.54746,0.80839,1.65223,4.56693,4.56693,0.47642596547828
"ALG12",11.96054,11.71651,9.06709,10.9147133333333,2.85908,2.85908,3.08744916750452
"ALG13",45.14192,54.87968,30.71886,43.5801533333333,38.1674,38.1674,1.13819536995903
"ALG14",24.30209,15.5299,21.95765,20.5965466666667,15.20623,15.20623,1.3326076864679
"ALG1L",2.81619,3.28836,4.80665,3.63706666666667,0.12651,0.12651,4.11631203155468
"ALG1L2",6.17906,3.20546,2.77475,4.05309,0,0,5.05309
"ALG2",9.70758,9.39531,8.78306,9.29531666666667,25.9847,25.9847,0.38152422175035
"ALG3",33.44643,29.45707,18.89887,27.2674566666667,11.09473,11.09473,2.33717136857678
"ALG5",17.70888,16.24836,22.89713,18.9514566666667,25.44071,25.44071,0.754573408454866
"ALG6",5.84774,4.94636,7.64694,6.14701333333333,10.31038,10.31038,0.631898604055154
"ALG8",49.89631,42.74867,40.4414,44.3621266666667,32.65166,32.65166,1.34799075786058
"ALG9",24.35179,30.45186,20.60304,25.1355633333333,23.27743,23.27743,1.07653748083439
"ALK",2.48488,1.4093,1.94451,1.94623,0.20241,0.20241,2.45027070633145
"ALKBH1",5.79804,4.08972,7.03519,5.64098333333333,17.05325,17.05325,0.367855279981905
"ALKBH2",17.52666,13.40214,20.20977,17.04619,4.81995,4.81995,3.10074656998771
"ALKBH3",22.87743,20.78022,26.54581,23.4011533333333,32.5378,32.5378,0.727571675343443
"ALKBH4",17.54323,13.84427,17.41318,16.2668933333333,2.4163,2.4163,5.05426728722107
"ALKBH5",61.74089,55.81921,59.34026,58.9667866666667,92.95791,92.95791,0.638230316815973
"ALKBH6",42.80613,41.20121,39.08679,41.0313766666667,12.29656,12.29656,3.16107148515606
"ALKBH7",46.38436,46.5897,37.25153,43.40853,0.78435,0.78435,24.8877910723793
"ALKBH8",4.22429,3.73049,3.16802,3.7076,11.37305,11.37305,0.380472074387479
"ALLC",0.91112,1.87906,2.53441,1.77486333333333,0.44278,0.44278,1.92327543584839
"ALMS1",16.7812,13.67847,15.73085,15.39684,3.80788,3.80788,3.41040957761009
"ALMS1P",2.84932,3.01203,1.68233,2.51456,0.80965,0.80965,1.94212140469152
"ALOX12",1.19274,1.76853,0.45882,1.14003,0.39217,0.39217,1.53719014200852
"ALOX12B",2.0376,1.76853,1.55124,1.78579,0,0,2.78579
