"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ADAMTSL2",11.47216,11.47216,0.864767,0.719934,0.473671,0.686124,7.39694115023569
"ADAMTSL3",10.72532,10.72532,0.184832,0.214714,0.105793,0.168446333333333,10.0349666608565
"ADAMTSL4",1.95006,1.95006,12.635359,12.932216,10.354914,11.974163,0.227379600518353
"ADAMTSL5",0.95428,0.95428,42.692522,31.619021,21.507695,31.939746,0.0593289335017945
"ADAP1",176.12766,176.12766,2.559191,2.013888,2.267124,2.28006766666667,54.0012213162676
"ADAP2",7.26086,7.26086,3.159636,0.302603,0.075168,1.17913566666667,3.79088834456842
"ADAR",64.9743,64.9743,31.090188,13.016808,8.388818,17.4986046666667,3.56644737204864
"ADARB1",10.43489,10.43489,19.742685,2.826503,2.675535,8.41490766666667,1.21455147568627
"ADARB2",33.98081,33.98081,0.115823,0.022508,0.083771,0.074034,32.5695555261752
"ADAT1",20.76605,20.76605,12.085066,7.251189,8.024499,9.12025133333333,2.15074204020098
"ADAT2",3.09105,3.09105,0.527551,0.654778,0.610782,0.597703666666667,2.56058121750154
"ADAT3",8.67154,8.67154,0.613159,0.450686,0.803128,0.622324333333333,5.96153296926036
"ADCK1",25.14331,25.14331,6.62267,6.828834,4.626745,6.026083,3.72089398886976
"ADCK2",15.91165,15.91165,8.450675,6.860918,7.832185,7.71459266666667,1.94061279131119
"ADCK5",7.48906,7.48906,4.110263,2.199273,1.452022,2.587186,2.36649563195218
"ADCY1",17.79947,17.79947,0.4447,0.546407,0.45112,0.480742333333333,12.6959765901202
