"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"TBC1D2",25.01884,25.01884,22.71711,22.71711,1.0970493453882
"TBC1D20",18.08991,18.08991,18.06197,18.06197,1.00146574567057
"TBC1D21",0,0,0.18621,0.18621,0.843021050235624
"TBC1D22A",82.75303,82.75303,88.2926,88.2926,0.937961600401377
"TBC1D22B",8.00769,8.00769,5.05859,5.05859,1.48676342185228
"TBC1D23",10.06147,10.06147,11.17235,11.17235,0.908737425394439
"TBC1D24",12.46793,12.46793,8.53443,8.53443,1.4125574365746
"TBC1D25",14.06532,14.06532,7.3241,7.3241,1.80984370682716
"TBC1D26",2.30273,2.30273,1.0862,1.0862,1.58313201035375
"TBC1D27",0,0,0.03103,0.03103,0.969903882525242
"TBC1D28",0.91279,0.91279,0,0,1.91279
"TBC1D29",0.16596,0.16596,0,0,1.16596
"TBC1D2B",9.83328,9.83328,9.03098,9.03098,1.07998221509763
"TBC1D3",0.12447,0.12447,0,0,1.12447
"TBC1D30",2.24049,2.24049,3.53791,3.53791,0.714093051647124
"TBC1D3B",0,0,0,0,1
"TBC1D3C",0.70534,0.70534,1.02413,1.02413,0.842505175062867
"TBC1D3F",0.47714,0.47714,0.31034,0.31034,1.12729520582444
"TBC1D3G",2.4272,2.4272,2.45171,2.45171,0.992899171714889
"TBC1D3H",0,0,0,0,1
"TBC1D3P1-DHX40P1",0.14522,0.14522,0,0,1.14522
"TBC1D3P2",0.16596,0.16596,0,0,1.16596
"TBC1D3P3",0,0,0,0,1
"TBC1D3P4",0,0,0,0,1
"TBC1D3P5",0.10373,0.10373,0.15517,0.15517,0.955469757698001
"TBC1D3P6",0,0,0,0,1
"TBC1D3P7",0,0,0,0,1
"TBC1D4",4.77142,4.77142,6.54824,6.54824,0.764604729049421
"TBC1D5",106.11225,106.11225,84.87883,84.87883,1.24724859432761
"TBC1D7",12.01153,12.01153,12.87924,12.87924,0.937481447110937
"TBC1D8",8.81676,8.81676,6.67238,6.67238,1.27949345574646
"TBC1D8B",6.59701,6.59701,4.31377,4.31377,1.42968363327732
"TBC1D9",5.539,5.539,6.08272,6.08272,0.923232882282513
"TBC1D9B",182.93212,182.93212,191.2334,191.2334,0.956816661412637
"TBCA",537.49017,537.49017,499.74544,499.74544,1.07537708181626
"TBCAP1",0,0,0,0,1
"TBCAP2",0,0,0,0,1
"TBCAP3",0,0,0,0,1
"TBCB",397.08593,397.08593,448.88021,448.88021,0.884870952647595
"TBCC",19.74953,19.74953,14.95854,14.95854,1.30021480661765
"TBCCD1",7.98694,7.98694,4.37584,4.37584,1.67172758117801
"TBCD",85.26321,85.26321,68.43065,68.43065,1.24243702168999
"TBCE",16.07761,16.07761,28.36536,28.36536,0.58155629626199
"TBCEL",7.42682,7.42682,5.61721,5.61721,1.27347023896778
"TBCK",78.95664,78.95664,72.62028,72.62028,1.08606813231354
"TBK1",7.90396,7.90396,9.03098,9.03098,0.887646072467496
"TBKBP1",25.14331,25.14331,9.65167,9.65167,2.45438602585322
"TBL1X",26.2843,26.2843,25.97571,25.97571,1.01143955061794
"TBL1XR1",24.52095,24.52095,25.88261,25.88261,0.949347924178493
