"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"HIBADH",701,0.891023,831,1.13374,772,1.03164,1.018801,"Hibadh",57.279519,55.941624,60.819967,2424,2230,1872,58.0137033333333,0.0342090207184083
"HIBCH",3646,4.12377,3642,4.42138,3274,3.89309,4.14608,"Hibch",25.491555,31.208778,27.319377,838,768,692,28.00657,0.177410841750679
"HIC1",471,9.05406,412,8.5008,499,10.0847,9.21318666667,"Hic1",1.328798,1.550312,2.128838,91,128,130,1.669316,3.82614372620926
"HIC2",205,1.05046,109,0.599504,152,0.818855,0.822939666667,"Hic2",0.172251,0.114566,0.226175,33,24,28,0.170997333333333,1.55674109135489
"HID1",596,4.64306,616,5.15085,361,2.95667,4.25019333333,"Hid1",0.242593,0.450387,0.541851,21,21,16,0.411610333333333,3.71929363887012
"HIF1A",2311,7.65408,2589,9.20376,4231,14.7324,10.53008,"Hif1a",6.234648,6.723241,7.131892,756,681,671,6.69659366666667,1.49807570717106
"HIF1AN",1955,11.0433,2041,12.3747,1811,10.755,11.391,"Hif1an",5.167532,5.311196,6.13733,1091,1042,936,5.538686,1.89502906241407
"HIF3A",3430,12.9175,4337,17.5313,2608,10.326,13.5916,"Hif3a",0.08357,0.142283,0.058405,18,29,9,0.0947526666666667,13.3286727169425
"HIGD1A",3617,31.2289,4004,37.1059,4207,38.1873,35.5073666667,"Higd1a",76.743227,72.354151,53.3787,705,642,446,67.492026,0.533016305674766
"HIGD1B",61,2.58405,51,2.3189,42,1.87051,2.25782,"Higd1b",3.629168,4.611162,4.7492,51,58,37,4.32984333333333,0.611241230980523
"HIGD1C",22,0.231738,22,0.248736,22,0.243633,0.241369,"Higd1c",0,0.114233,0,0,1,0,0.0380776666666667,1.19583441572933
"HIGD2A",403,69.6377,465,86.2448,438,79.5704,78.4843,"Higd2a",36.050822,33.748638,40.57996,529,461,425,36.79314,2.10314094039289
"HIGD2B",0,0,1,0.0180388,0,0,0.00601293333333,"Higd2a",36.050822,33.748638,40.57996,529,461,425,36.79314,0.0266189296082128
"HIKESHI",630,2.51664,746,3.1986,769,3.22958,2.98160666667,"Hikeshi",23.240043,31.292147,26.933025,140,170,102,27.1550716666667,0.141417031851633
"HILPDA",194,13.1874,100,7.29622,198,14.1501,11.5445733333,"Hilpda",1.18506,0.863304,1.065567,31,21,20,1.037977,6.15540476330204
"HINFP",423,5.10343,412,5.33531,325,4.12234,4.85369333333,"Hinfp",1.818765,1.804792,1.448566,103,95,69,1.69070766666667,2.17552185465831
"HINT1",3935,54.0909,4577,67.5306,3592,51.9103,57.8439333333,"Hint1",47.070769,54.207222,47.752215,644,696,472,49.6767353333333,1.16116267052812
"HINT2",250,18.2358,296,23.1749,222,17.0246,19.4784333333,"Hint2",29.966069,33.890218,43.363863,283,352,271,35.74005,0.557387192812748
"HINT3",1556,11.5796,1570,12.5408,1548,12.1114,12.0772666667,"Hint3",20.16618,21.181203,21.868814,237,225,184,21.0720656666667,0.592480416839705
