"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,"Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,0.830207874113624
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,"Acer1",0.013295,0,0,1,0,0,0.00443166666666667,1.09006453068817
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,"Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.650442903945692
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,"Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,2.83069601013309
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,"Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,111.296371866126
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,"Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,6.92086376432325
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,"Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,7.25941557900352
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,"Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.790260085573639
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,"Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,0.218221557755738
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,"Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.503878980046341
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,"Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,36.1610186391672
"ACMSD",0.069346,0.050982,0.281347,0.133891666666667,2,2,7,"Acmsd",0,0.051825,0.043596,0,3,2,0.031807,1.09893775353983
"ACO1",12.481148,12.32891,11.425298,12.078452,956,1358,1328,"Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,2.99628192546271
"ACO2",69.325062,71.569862,65.685688,68.860204,2171,3126,3037,"Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,0.159472470928614
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.025515,0,0,2,0,0.008505,0.991566725003842
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,2.54701562500863
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,0.343699822621564
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,0.369710198021989
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot5",0,0,0,0,0,0,0,3.07358733333333
"ACOT11",1.059936,0.383645,0.558014,0.667198333333333,60,46,67,"Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,0.303212530760195
