"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACTG1","Actg1",533.854181,697.997865,581.991909,8440,9587,17032,604.614651666667,1819.21101,1453.84166,1057.48459,1443.51242,0.419251951926219
"ACTG2","Actg2",0.143131,0.14681,0.401161,1,2,5,0.230367333333333,1.52406,3.59233,6.42343,3.84660666666667,0.253861602138128
"ACTL10","Actl10",0.952299,0.600651,0.862865,17,11,31,0.805271666666667,0.18222,0.80136,0.65545,0.546343333333333,1.16744556512892
"ACTL6A","Actl6a",7.557008,12.276269,9.663815,94,111,225,9.832364,57.40064,40.37221,15.20649,37.65978,0.280197248923817
"ACTL6B","Actl6b",35.86115,41.196074,36.374725,535,582,1108,37.8106496666667,82.51446,59.10757,87.50286,76.3749633333333,0.501591832741418
"ACTL7A","Actl7a",0,0.053803,0,0,1,0,0.0179343333333333,0,0.22107,0,0.07369,0.948070982623786
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0.05527,0,0.0184233333333333,0.981909945765841
"ACTL9","Actl9",0.059117,0,0.031171,1,0,1,0.030096,0,0.22107,0,0.07369,0.959397964030586
"ACTN1","Actn1",33.864388,28.934032,31.956368,1209,985,2176,31.5849293333333,196.73593,153.64099,75.39884,141.925253333333,0.227985807779805
"ACTN2","Actn2",14.886157,16.737765,16.669772,268,326,649,16.097898,204.83663,117.0269,46.4934,122.785643333333,0.138125048588699
