"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"POLR3GL","Polr3gl",13.291104,17.086436,14.20348,339,96,141,14.86034,35.9998,35.9998,0.428660154919756
"POLR3H","Polr3h",16.701015,16.862135,17.257785,677,163,282,16.9403116666667,67.37548,67.37548,0.262379315899013
"POLR3K","Polr3k",12.023262,10.688352,12.345228,1332,314,571,11.685614,10.95511,10.95511,1.06110391288746
"POLRMT","Polrmt",16.971316,9.662455,19.292305,726,133,277,15.308692,43.417,43.417,0.367172298894567
"POM121C","Pom121",6.867906,5.082618,6.193044,1584,283,573,6.047856,10.95511,10.95511,0.5895266542926
"POM121L2","Pom121l2",0,0,0,0,0,0,0,0,0,1
"POMC","Pomc",0.385869,0.243683,0.290425,14,2,4,0.306659,13.62406,13.62406,0.0893499479624673
"POMGNT1","Pomgnt1",37.510907,34.763265,33.192281,2133,538,823,35.1554843333333,117.34071,117.34071,0.305520258694859
"POMP","Pomp",334.233226,342.275002,372.610143,2939,702,1239,349.706123666667,72.77545,72.77545,4.75369684179041
"POMT1","Pomt1",9.763049,7.931999,6.020678,461,102,188,7.905242,34.94463,34.94463,0.247748884882109
"POMT2","Pomt2",6.224115,6.949474,6.292773,1094,244,400,6.48878733333333,21.50677,21.50677,0.332734876365348
"PON1","Pon1",0.079843,0,0,2,0,0,0.0266143333333333,1.11724,1.11724,0.48488330719868
"PON2","Pon2",11.914264,19.316151,13.775167,848,168,352,15.0018606666667,84.78573,84.78573,0.186532896166608
"PON3","Pon3",1.866242,1.779283,1.785973,99,24,36,1.81049933333333,2.79309,2.79309,0.740952451255661
"POP4","Pop4",12.25792,14.167659,13.931471,839,187,338,13.45235,55.83072,55.83072,0.254305241953648
"POP5","Pop5",160.727377,126.666546,171.293503,1655,287,673,152.895808666667,38.3584,38.3584,3.91011343618304
"POP7","Pop7",11.684293,9.939259,10.952155,344,70,126,10.858569,46.48939,46.48939,0.249709861508013
"POPDC2","Popdc2",0.296958,0.274403,1.589565,26,4,11,0.720308666666667,12.87924,12.87924,0.12394833338617
"POPDC3","Popdc3",15.217725,12.4298,12.402633,993,198,325,13.3500526666667,7.35513,7.35513,1.71751399040669
"POR","Por",20.64078,23.225941,25.823766,1303,341,547,23.2301623333333,56.82382,56.82382,0.419034272265882
"PORCN","Porcn",12.993466,12.758495,14.723984,947,234,404,13.4919816666667,13.90337,13.90337,0.972396287998397
"POSTN","Postn",11.699706,14.039966,12.51509,1091,291,392,12.7515873333333,4.18963,4.18963,2.64982037897371
"POU1F1","Pou1f1",0.022497,0.063963,0.040144,1,1,1,0.0422013333333333,0.12414,0.12414,0.927109909204666
"POU2AF1","Pou2af1",0.029162,0.079419,0.104054,3,2,4,0.0708783333333333,9.09305,9.09305,0.10610056755226
"POU2F1","Pou2f1",2.785281,1.329249,2.326279,838,185,350,2.14693633333333,4.31377,4.31377,0.592222910162339
"POU2F2","Pou2f2",0.605306,0.564944,0.569406,136,42,46,0.579885333333333,9.74477,9.74477,0.147037613027858
"POU2F3","Pou2f3",0.068424,0.093936,0.099838,7,2,4,0.0873993333333333,0.15517,0.15517,0.941332733133074
"POU3F1","Pou3f1",0.987938,0.781833,0.786021,113,21,43,0.851930666666667,1.64482,1.64482,0.700210474310791
"POU3F2","Pou3f2",1.484586,1.27603,1.598517,329,71,145,1.45304433333333,7.13789,7.13789,0.301434933789144
"POU3F3","Pou3f3",0.046831,0.070267,0.018459,12,4,2,0.0451856666666667,18.65162,18.65162,0.0531857254855664
"POU3F4","Pou3f4",0.050473,0.035704,0.042146,6,1,2,0.0427743333333333,1.05517,1.05517,0.507390791678223
"POU4F1","Pou4f1",120.741115,128.065464,120.749294,6428,1520,2737,123.185291,0.40345,0.40345,88.4857251772418
"POU4F2","Pou4f2",5.598583,5.705963,4.687861,696,174,244,5.33080233333333,0.06207,0.06207,5.96081457279966
"POU4F3","Pou4f3",8.873761,9.184051,8.763377,818,214,327,8.94039633333333,0,0,9.94039633333333
"POU5F1","Pou5f1",0,0,0,0,0,0,0,4.2517,4.2517,0.190414532437116
"POU5F2","Pou5f2",0.019243,0.079019,0.049447,1,1,1,0.0492363333333333,0.15517,0.15517,0.908296037235501
"POU6F1","Pou6f1",20.589021,19.06734,24.571545,1898,464,809,21.409302,32.49292,32.49292,0.669075792734703
"POU6F2","Pou6f2",0.674996,0.853931,1.298006,70,23,35,0.942311,0.71379,0.71379,1.13334247486565
"PP2D1","Pp2d1",0.060643,0.016743,0.05211,6,0,2,0.0431653333333333,1.64482,1.64482,0.394418271690827
"PPA1","Ppa1",83.889865,94.980877,73.334881,2265,575,931,84.068541,160.23013,160.23013,0.527621859512239
"PPA2","Ppa2",41.856189,38.318777,37.004963,1301,296,504,39.0599763333333,86.43054,86.43054,0.458192026874515
"PPAN","Ppan",4.764985,3.09002,4.980355,300,54,118,4.27845333333333,35.59635,35.59635,0.144234420463607
