"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SLC10A1","Slc10a1",0.03868,0.238034,0.120755,2,3,3,0.132489666666667,0,0,1.13248966666667
"SLC10A2","Slc10a2",0.300545,0.348122,0.336881,49,14,21,0.328516,1.44264,1.44264,0.543885304424721
"SLC10A3","Slc10a3",2.844876,3.62147,2.467026,214,64,73,2.97779066666667,30.2014,30.2014,0.127487570002201
"SLC10A4","Slc10a4",0.047511,0.122334,0.366114,3,2,7,0.178653,3.75296,3.75296,0.247982941156669
"SLC10A5","Slc10a5",0.024715,0.025186,0,4,1,0,0.0166336666666667,0.37634,0.37634,0.738650091304959
"SLC10A6","Slc10a6",4.006117,3.304,3.273597,339,68,108,3.52790466666667,0.5436,0.5436,2.93334067547724
"SLC10A7","Slc10a7",8.988495,3.954983,4.963881,591,135,253,5.96911966666667,2.75984,2.75984,1.85356814829
"SLC11A1","Slc11a1",0.64179,2.206137,2.035217,39,11,15,1.62771466666667,27.74473,27.74473,0.0914155278782117
"SLC11A2","Slc11a2",20.308104,13.412199,20.473886,1035,228,419,18.0647296666667,17.84486,17.84486,1.01166735474112
"SLC12A1","Slc12a1",0.051448,0.083641,0.052623,10,4,4,0.0625706666666667,0.82586,0.82586,0.58195626535806
"SLC12A2","Slc12a2",26.802958,27.163056,29.997041,6864,1723,3104,27.987685,5.53013,5.53013,4.43906706298343
"SLC12A3","Slc12a3",2.689796,2.007342,3.296996,206,40,105,2.66471133333333,0.09409,0.09409,3.34955198688712
"SLC12A4","Slc12a4",7.022121,7.649641,7.861662,732,179,318,7.51114133333333,31.10044,31.10044,0.265140955492614
"SLC12A5","Slc12a5",0.225759,0.210439,0.544756,25,5,14,0.326984666666667,0.07318,0.07318,1.23649776054964
"SLC12A6","Slc12a6",23.226044,19.489688,22.80857,5318,1092,2010,21.841434,2.39395,2.39395,6.73004434361143
"SLC12A7","Slc12a7",23.132457,15.864033,12.629331,1115,258,429,17.208607,6.77415,6.77415,2.34219908285793
"SLC12A8","Slc12a8",0.77437,0.786035,0.587696,30,9,9,0.716033666666667,0.41816,0.41816,1.21004235535248
"SLC12A9","Slc12a9",7.099111,3.878298,4.515102,490,110,195,5.16417033333333,18.50346,18.50346,0.316055219603769
"SLC13A1","Slc13a1",0.373825,0.406195,0.365243,37,10,14,0.381754333333333,0,0,1.38175433333333
"SLC13A2","Slc13a2",0.01012,0.041766,0,1,1,0,0.0172953333333333,0.07318,0.07318,0.947926101244277
"SLC13A3","Slc13a3",2.62318,1.975027,1.168819,154,57,64,1.922342,2.3835,2.3835,0.863703856952859
"SLC13A5","Slc13a5",0.304877,0.731347,0.193412,17,4,5,0.409878666666667,3.60661,3.60661,0.306055573766103
"SLC14A1","Slc14a1",0.259091,0.202844,0.354506,37,5,21,0.272147,0.63769,0.63769,0.776793532353498
"SLC14A2","Slc14a2",0.093,0.230834,0.15372,6,4,5,0.159184666666667,0.15681,0.15681,1.00205277155857
"SLC15A1","Slc15a1",0.089377,0.12966,0.060799,11,4,3,0.0932786666666667,0.21953,0.21953,0.896475418125562
"SLC15A2","Slc15a2",4.437915,3.051762,7.499339,226,38,160,4.99633866666667,2.25805,2.25805,1.84046858294583
"SLC15A3","Slc15a3",0.395171,0.042953,0.189138,14,1,8,0.209087333333333,381.66254,381.66254,0.00315966996229454
"SLC15A4","Slc15a4",189.206313,197.271515,167.55347,837,166,269,184.677099333333,17.19672,17.19672,10.2038773654446
