"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","FoldChange"
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,122.816081,100.430979,109.79734,111.0148,3076,1982,1940,0.136821205769238
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,2.616941,4.886551,6.520383,4.674625,86,122,141,12.1447907717779
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,0.123068,0.277159,0.172717,0.190981333333333,7,9,4,1.20739983610183
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,2.012493,0.697493,1.28327,1.33108533333333,52,13,22,2.11795907371187
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,2.41582851690334
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,0.22152532580679
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,0.185122,0.039662,0.088863,0.104549,6,1,2,1.18671542261412
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,9.64322,6.563351,6.68116,7.62924366666667,860,462,416,0.521915188317972
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,0.177749669206986
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,0,0,0,0,0,0,0,1.0540664
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,4.205801,4.758707,5.368048,4.77751866666667,99,81,76,1.72608760069721
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,1.265227,0.289037,0.841305,0.798523,109,23,34,0.859811263649673
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,0.237945,0.109798,0.174106,0.173949666666667,8,3,2,0.875105008760995
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,11.326065,11.195552,12.209772,11.5771296666667,355,281,284,0.547252050540732
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,24.173517,18.076715,19.437196,20.562476,254,164,153,0.466878355404546
"ACOT4",60,2.18784,50,1.95693,47,1.80177,1.98218,0.591094,0.748843,1.193545,0.844494,24,23,33,1.61680113895735
"ACOT6",18,0.351586,15,0.314478,34,0.698194,0.454752666667,0.245134,0.088672,0.12044,0.151415333333333,3,1,1,1.26344736304276
"ACOT7",6308,8.46892,5418,7.80757,3619,5.10815,7.12821333333,80.632403,114.029529,128.44021,107.700714,1778,1946,1942,0.0747760804343015
"ACOT8",858,9.55638,927,11.0822,784,9.18037,9.93965,20.763417,18.37889,19.993785,19.7120306666667,370,284,270,0.52817853430499
"ACOT9",1043,2.78521,1099,3.15001,1353,3.79848,3.24456666667,18.917753,21.089502,23.207269,21.071508,535,461,410,0.192309771795837
"ACOX1",1383,6.41366,1602,7.97419,1794,8.7467,7.71151666667,21.711569,42.59937,35.250653,33.1871973333333,754,736,847,0.254818099937548
"ACOX2",360,1.95632,355,2.07064,277,1.58254,1.86983333333,5.471821,1.789143,2.323278,3.19474733333333,63,12,15,0.684149271763051
"ACOX3",307,0.720462,365,0.919403,387,0.95482,0.864895,11.236717,10.706481,12.961887,11.6350283333333,231,182,207,0.147597215518709
"ACOXL",127,0.0575309,110,0.0534848,122,0.0581026,0.0563727666667,0.106301,0.156535,0.132989,0.131941666666667,4,4,4,0.933239580956056
"ACP2",881,16.0239,1004,19.6005,895,17.1141,17.5795,104.027156,109.16421,127.822959,113.671441666667,638,547,541,0.162023776190134
"ACP4",2,0.0727155,7,0.273172,3,0.114672,0.153519833333,0.279935,0.062067,0,0.114000666666667,6,1,0,1.035474993731
"ACP5",21,0.843569,32,1.37972,35,1.47811,1.23379966667,0,2.031601,2.612106,1.54790233333333,0,11,8,0.876721072643156
"ACP6",610,2.60726,652,2.99118,794,3.5679,3.05544666667,17.588665,10.559517,14.810767,14.3196496666667,472,247,242,0.264721893444735
"ACP7",29,0.183687,28,0.190361,27,0.179797,0.184615,0.15024,0.124344,0.170202,0.148262,8,5,6,1.03165915096032
"ACR",11,0.268994,16,0.419962,20,0.514182,0.401046,0.041913,0,0.163679,0.0685306666666667,1,0,1,1.3111893216604
"ACRBP",56,1.04532,49,0.981743,62,1.21672,1.081261,0.967429,0.571787,0.527381,0.688865666666667,14,5,4,1.23234253681514
