"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ACIN1",89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,"Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,8.56518311560183
"ACKR1",9.846748,12.019005,14.314649,12.060134,231,292,219,"Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,11.8746302854519
"ACKR2",0.432002,0.122803,0.473199,0.342668,14,5,6,"Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,0.768301894278102
"ACKR3",0,0.074184,0.633304,0.235829333333333,0,2,7,"Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,0.138644748895877
"ACKR4",0.106321,0,0,0.0354403333333333,3,0,0,"Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.504632276265581
"ACLY",254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,"Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,42.4451979978126
"ACMSD",0.255707,0.275251,0.059046,0.196668,1,2,1,"Acmsd",0,0.051825,0.043596,0,3,2,0.031807,1.15977891214151
"ACO1",9.414829,8.829655,9.906688,9.383724,628,626,488,"Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,2.37891797440503
"ACO2",76.722101,90.811985,92.660824,86.7316366666667,1805,2351,1468,"Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,0.200268251118258
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.025515,0,0,2,0,0.008505,0.991566725003842
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,2.96817985195383
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,0.400532638515703
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,0.430843984644582
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot5",0,0,0,0,0,0,0,3.58182333333333
"ACOT11",0.582734,0.576701,0.609753,0.589729333333333,40,51,26,"Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,0.289123282303176
