"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"EIF2AK3",934,2.30712,958,2.53998,1152,2.99167,2.61292333333,5.01945,3.95156,2.05375,3.67492,0.772831050227597
"EIF2AK4",1298,2.23459,1471,2.71817,1789,3.23796,2.73024,31.4254,30.03737,29.40795,30.29024,0.119214170297192
"EIF2B1",1123,14.6836,1174,16.4763,1351,18.5714,16.5771,38.05174,42.03021,44.24302,41.4416566666667,0.414147358526768
"EIF2B2",672,12.4283,644,12.7841,535,10.4024,11.8716,23.57319,20.03412,21.49883,21.7020466666667,0.566979717247226
"EIF2B3",759,0.973536,799,1.10001,836,1.12734,1.066962,19.46486,15.3641,18.26527,17.6980766666667,0.110544096959705
"EIF2B4",609,17.3418,699,21.3645,624,18.6809,19.1290666667,38.10144,36.36538,40.33215,38.2663233333333,0.512629270019084
"EIF2B5",1210,19.0609,1094,18.4977,1054,17.4557,18.3381,107.57857,72.89657,86.58522,89.02012,0.214819753628411
"EIF2D",2239,9.49996,1973,8.98535,2153,9.60395,9.36308666667,34.98706,41.97494,18.98626,31.9827533333333,0.314197136968452
"EIF2S1",1305,8.70527,1443,10.3319,1729,12.1256,10.38759,53.50767,37.00095,33.07848,41.1957,0.269875603438265
"EIF2S2",1807,13.1891,1825,14.2975,2050,15.7307,14.4057666667,22.47985,20.17229,20.71229,21.1214766666667,0.696416740113642
"EIF2S3",2883,21.1044,3022,23.7446,3658,28.1521,24.3337,110.3285,87.76327,52.37062,83.4874633333333,0.299851587448536
"EIF3A",4167,15.4382,4557,18.1214,4961,19.3232,17.6276,83.52497,67.97785,49.85806,67.1202933333333,0.273451552958668
"EIF3B",2987,19.5734,3061,21.5295,2662,18.339,19.8139666667,56.96993,50.84522,57.52685,55.114,0.370922883178886
"EIF3C",5351,19.8167,7897,31.3906,3681,14.3318,21.8463666667,8.38232,9.25715,3.88902,7.17616333333333,2.79426495475669
"EIF3CL",5220,37.5264,7755,59.8396,3577,27.0348,41.4669333333,0.03313,0.05527,0,0.0294666666666667,41.2513923066636
"EIF3D",1770,16.8695,1886,19.2935,2127,21.3125,19.1585,70.13977,70.79644,64.62758,68.5212633333333,0.289961646746063
"EIF3E",3007,2.24383,3484,2.79045,3726,2.92305,2.65244333333,170.94292,107.29999,101.68247,126.641793333333,0.0286147917382494
"EIF3F",2192,12.1138,2433,14.4318,2323,13.4966,13.3474,91.27779,85.49734,57.26467,78.0132666666667,0.181582164682893
"EIF3G",1155,41.1371,1200,45.8747,1371,51.3366,46.1161333333,185.75278,215.15265,199.56332,200.15625,0.234226544456362
"EIF3H",2233,3.12593,2364,3.55204,2389,3.51596,3.39797666667,662.4183,596.51942,694.51706,651.151593333333,0.00674379501887082
"EIF3I",1824,32.9287,1894,36.7004,1998,37.9213,35.8501333333,138.63953,122.19432,115.29403,125.37596,0.291591322695392
"EIF3J",1665,11.2285,1759,12.7325,1753,12.4287,12.1299,48.90236,49.10432,35.87508,44.6272533333333,0.287764417991119
"EIF3K",1835,17.9351,1868,19.5968,1752,18.0028,18.5115666667,315.87746,281.44487,247.60796,281.64343,0.0690324436931012
"EIF3L",3298,14.2121,3605,16.6745,3509,15.8975,15.5947,428.02821,318.39055,206.70775,317.708836666667,0.0520685280444739
"EIF3M",1643,12.7757,1825,15.2317,1959,16.0147,14.6740333333,87.5836,77.76002,52.37062,72.5714133333333,0.213045157394013
"EIF4A1",5212,144.506,4729,140.731,7682,223.92,169.719,220.65701,194.37243,191.21723,202.082223333333,0.840639801937695
"EIF4A2",12654,330.292,13063,365.976,12784,350.812,349.026666667,724.67273,565.12803,474.85321,588.21799,0.594052918626941
"EIF4A3",786,10.7419,760,11.1484,877,12.6007,11.497,35.4509,34.15472,39.30528,36.3036333333333,0.335007581924549
"EIF4E",1472,4.36199,1586,5.04453,1638,5.10304,4.83652,36.90869,33.27046,31.13398,33.7710433333333,0.16785576274051
"EIF4E2",1281,6.78746,1403,7.97915,1578,8.7903,7.85230333333,46.08617,49.93332,33.99612,43.3385366666667,0.199652582129195
"EIF4E3",1745,3.84135,1820,4.30032,1500,3.47151,3.87106,35.36807,31.08743,19.68541,28.7136366666667,0.163933484636852
"EIF4EBP1",84,0.491912,68,0.427423,103,0.634138,0.517824333333,8.23322,9.20188,4.8285,7.4212,0.180238485409799
